interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_flow;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapDensity;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;wizard_example;0;77.01;3;39;38.46;-320044835#0;0;0;77.01;41;36.07;78.47;81.61;3127.05;0.20;0.01;3074.03;79.79;2919.00
0.00;3600.00;wizard_example;0;47.53;0;32;29.91;-320044835#1;0;0;47.53;27;23.62;47.74;230.23;6759.63;0.19;0.01;6664.09;224.95;6253.00
0.00;3600.00;wizard_example;0;5.08;0;30;30.00;-320044835#2;0;0;5.08;30;2.54;5.19;37.53;1126.00;1.74;0.13;982.53;36.77;833.00
0.00;3600.00;wizard_example;0;0.94;1;38;38.92;-320044835#3;0;0;0.94;39;0.48;1.07;6.02;234.18;10.93;0.79;39.34;5.27;0.00
0.00;3600.00;wizard_example;0;1.10;4;31;33.89;-320044835#4;0;0;1.10;35;0.58;1.46;2.83;96.53;8.27;0.60;38.48;2.15;4.00
0.00;3600.00;wizard_example;0;0.23;10;0;9.26;-320044835#5;0;0;0.23;10;0.12;0.26;6.77;62.99;10.87;0.78;12.10;6.11;0.00
0.00;3600.00;wizard_example;0;1.45;3;62;64.00;-320044838;0;0;1.45;64;0.72;1.47;22.94;1468.01;12.29;0.88;174.50;22.52;0.00
0.00;3600.00;wizard_example;0;0.23;2;5;6.64;-320044839#0;0;0;0.23;7;0.13;0.29;4.44;29.70;7.49;0.54;10.64;3.59;0.00
0.00;3600.00;wizard_example;0;0.06;1;1;1.91;-320044839#1;0;0;0.06;2;0.03;0.06;6.61;12.69;9.55;0.69;4.36;6.26;0.00
0.00;3600.00;wizard_example;0;0.19;3;3;5.77;-320044841#0;0;0;0.19;6;0.10;0.21;8.66;50.12;8.42;0.61;17.79;7.91;0.00
0.00;3600.00;wizard_example;0;42.88;0;342;332.26;-320044841#1;0;0;42.88;336;21.65;44.66;21.87;7259.59;2.29;0.17;5883.89;20.98;5143.00
0.00;3600.00;wizard_example;0;42.50;2;343;336.11;-320044841#2;0;0;42.50;341;19.68;43.84;14.98;5030.00;2.46;0.18;4134.83;14.51;3818.00
0.00;3600.00;wizard_example;0;46.47;1;406;401.58;-320044841#3;0;0;46.47;403;21.58;48.70;11.58;4647.38;2.72;0.20;3695.08;11.04;3247.00
0.00;3600.00;wizard_example;1;37.51;2;310;305.40;-320044841#4;0;0;37.51;296;18.71;37.86;74.17;22629.77;2.31;0.17;18808.97;73.41;16936.44
0.00;3600.00;wizard_example;0;0.31;0;12;12.00;-320044843#0;0;0;0.31;12;0.16;0.33;12.19;146.28;10.47;0.75;34.58;11.28;4.00
0.00;3600.00;wizard_example;0;0.00;5;0;0.00;-320044843#1;0;0;0.00;5;0.03;0.10;0.75;1.87;13.40;0.96;0.08;;0.00
0.00;3600.00;wizard_example;1;13.57;3;53;54.71;-320044846#0;0;0;13.57;42;6.79;13.61;419.85;22919.82;1.13;0.05;21782.04;417.66;18473.00
0.00;3600.00;wizard_example;1;0.99;2;53;54.90;-320044846#1;0;0;0.99;54;0.62;1.38;9.11;500.02;11.58;0.52;240.93;6.53;168.00
0.00;3600.00;wizard_example;0;0.70;2;47;48.91;-320044846#2;0;0;0.70;49;0.35;0.74;6.08;297.44;19.24;0.87;43.44;5.76;0.00
0.00;3600.00;wizard_example;0;1.43;3;49;51.92;-320044846#3;0;0;1.43;52;0.77;1.61;22.12;1148.67;9.16;0.41;676.93;19.54;436.00
0.00;3600.00;wizard_example;0;12.11;1;70;64.58;-320044846#4;0;0;12.11;51;6.06;12.17;152.29;9783.50;1.50;0.07;9112.83;150.70;8250.00
0.00;3600.00;wizard_example;0;2.43;3;52;54.90;-320044846#5;0;0;2.43;55;1.22;2.51;24.99;1372.03;6.29;0.28;950.27;24.23;704.00
0.00;3600.00;wizard_example;0;1.27;2;45;46.91;-320044849#0;0;0;1.27;47;0.64;1.35;12.18;571.48;10.06;0.72;148.60;11.42;32.00
0.00;3600.00;wizard_example;0;48.96;2;42;41.30;-320044849#1;0;0;48.96;39;24.07;49.75;147.23;6017.19;0.26;0.02;5897.17;143.41;5609.00
0.00;3600.00;wizard_example;0;20.54;1;46;45.30;-320044849#2;0;0;20.54;39;10.27;20.59;217.57;9799.11;0.63;0.05;9355.80;215.77;8898.00
0.00;3600.00;wizard_example;0;0.61;1;21;21.96;-320044849#3;0;0;0.61;22;0.31;0.65;14.98;329.04;9.76;0.70;91.03;14.21;28.00
0.00;3600.00;wizard_example;0;0.40;3;12;14.79;-320044849#4;0;0;0.40;15;0.21;0.45;7.95;117.63;9.76;0.70;31.56;7.07;0.00
0.00;3600.00;wizard_example;0;0.26;0;12;12.00;-320044849#5;0;0;0.26;12;0.13;0.27;12.63;151.52;12.66;0.91;9.17;12.23;0.00
0.00;3600.00;wizard_example;1;0.81;2;18;19.44;-320044849#6;0;0;0.81;19;0.42;0.97;4.85;94.65;6.59;0.47;44.90;4.02;20.00
0.00;3600.00;wizard_example;0;0.65;2;14;14.00;-320044849#7;0;0;0.65;16;17.11;133.33;42.15;616.55;0.12;0.01;610.84;0.03;602.00
0.00;3600.00;wizard_example;0;1.05;1;11;11.97;-320044850#3;0;0;1.05;12;0.53;1.07;60.51;722.86;3.17;0.23;555.63;59.21;511.00
0.00;3600.00;wizard_example;0;0.36;2;10;11.71;-320044850#4;0;0;0.36;12;0.18;0.40;4.34;50.93;9.29;0.67;16.10;3.89;0.00
0.00;3600.00;wizard_example;0;0.21;2;7;8.94;-320044850#7;0;0;0.21;9;0.11;0.22;15.13;135.24;11.56;0.83;20.48;14.52;0.00
0.00;3600.00;wizard_example;0;0.09;3;0;2.83;-320044850#8;0;0;0.09;3;0.05;0.10;11.70;33.25;8.33;0.60;11.21;10.78;0.00
0.00;3600.00;wizard_example;0;9.24;2;13;14.73;-320044852#0;0;0;9.24;14;4.64;9.35;131.15;1924.33;0.47;0.03;1852.63;129.11;1771.00
0.00;3600.00;wizard_example;0;68.76;0;85;77.49;-320044852#2;0;0;68.76;71;34.39;68.91;344.93;26599.75;0.33;0.02;25973.84;342.54;24260.00
0.00;3600.00;wizard_example;0;59.84;1;96;90.79;-320044852#3;0;0;59.84;84;29.92;59.97;234.31;21185.00;0.44;0.03;20514.83;232.82;19470.00
0.00;3600.00;wizard_example;0;52.64;0;172;165.47;-320044852#4;0;0;52.64;158;26.36;53.12;124.69;20586.26;0.90;0.07;19216.32;123.30;17281.00
0.00;3600.00;wizard_example;2;49.45;1;175;171.72;-320044852#5;0;0;49.45;168;24.71;50.33;30.22;5177.86;1.11;0.08;4761.78;29.63;4470.00
0.00;3600.00;wizard_example;0;43.46;0;191;176.64;-320044852#6;0;0;43.46;170;21.73;43.63;138.08;24344.28;1.16;0.08;22304.52;137.28;20336.00
0.00;3600.00;wizard_example;0;16.31;1;135;135.41;-320044852#7;0;0;16.31;135;8.18;16.51;82.82;11213.76;2.34;0.17;9303.80;81.83;8040.00
0.00;3600.00;wizard_example;0;1.65;2;38;39.96;-320044852#9;0;0;1.65;40;0.88;1.91;49.87;1992.96;5.91;0.43;1133.55;43.05;825.00
0.00;3600.00;wizard_example;0;33.98;3;444;443.58;-320044854#0;0;0;33.98;446;10.59;66.73;1.31;581.33;5.68;0.26;269.21;0.67;166.00
0.00;3600.00;wizard_example;0;14.54;1;421;420.71;-320044854#1;0;0;14.54;419;6.79;16.64;3.37;1418.29;8.50;0.38;865.59;2.95;537.00
0.00;3600.00;wizard_example;0;10.07;3;447;432.65;-320044854#2;0;0;10.07;415;4.98;10.19;22.06;9536.89;12.02;0.54;4292.87;21.79;2718.00
0.00;3600.00;wizard_example;0;0.77;2;30;31.91;-320047928#0;0;0;0.77;32;0.39;0.83;10.87;346.94;11.14;0.80;62.48;10.15;3.00
0.00;3600.00;wizard_example;1;0.71;3;30;32.04;-320047928#1;0;0;0.71;31;0.36;0.76;6.95;222.82;12.44;0.90;25.60;6.51;0.00
0.00;3600.00;wizard_example;0;0.39;1;15;15.79;-320047928#10;0;0;0.39;16;0.21;0.53;2.99;47.25;9.96;0.72;11.68;2.17;1.00
0.00;3600.00;wizard_example;0;0.40;1;16;16.77;-320047928#11;0;0;0.40;17;0.20;0.49;2.30;38.71;11.62;0.84;4.96;1.87;0.00
0.00;3600.00;wizard_example;0;0.50;2;15;16.60;-320047928#12;0;0;0.50;17;0.25;0.58;3.23;53.75;9.51;0.68;16.68;2.78;0.00
