tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1819.00;-1376951074#0_0;28.89;9.56;70.00;0.38;1055098882#0_0;5.10;0.00;tripinfo_veh1434 routing_veh1434;1749.00;veh1434;1;25291.49;1.02;0.00;783.27;veh_passenger;;28;371.00
1819.00;962174891_0;14.10;11.82;833.00;0.19;1042419273#1_0;5.10;0.00;tripinfo_veh17155 routing_veh17155;986.00;veh17155;1;5571.36;1.07;0.00;706.68;veh_passenger;;10;518.00
1819.00;-220749511#5_0;362.39;27.92;1232.00;0.04;-1044509117#1_0;5.10;14.44;tripinfo_veh25377 routing_veh25377;587.00;veh25377;1;8780.42;1.04;0.00;250.18;veh_passenger;;4;166.00
1821.00;199050479#0_0;323.03;20.84;122.00;0.05;-684346453_0;5.10;13.36;tripinfo_veh2512 routing_veh2512;1699.00;veh2512;1;18901.23;0.96;0.00;932.67;veh_passenger;;21;530.00
1821.00;355391671#1_0;60.69;13.63;171.00;0.50;1219040437_0;5.10;13.09;tripinfo_veh3512 routing_veh3512;1650.00;veh3512;1;4833.33;1.03;0.00;1414.97;veh_passenger;;11;1303.00
1821.00;1053935172#2_1;124.19;21.10;1308.00;0.45;-1092272096#1_0;5.10;10.76;tripinfo_veh26934 routing_veh26934;513.00;veh26934;1;4902.21;0.77;0.00;93.65;veh_passenger;;2;25.00
1822.00;-1048915796#1_0;76.92;13.40;749.00;0.07;1217037371#0_0;5.10;13.61;tripinfo_veh15427 routing_veh15427;1073.00;veh15427;1;11136.54;0.98;0.00;547.17;veh_passenger;;6;341.00
1822.00;-1232123841#1_0;19.57;12.51;997.00;0.58;-162237275#0_0;5.10;0.00;tripinfo_veh20525 routing_veh20525;825.00;veh20525;1;6039.85;1.09;0.00;512.63;veh_passenger;;13;248.00
1822.00;-1369859087#0_0;252.66;13.04;1312.00;0.42;1041990391#0_0;5.10;0.00;tripinfo_veh27017 routing_veh27017;510.00;veh27017;1;1758.77;0.95;0.00;376.26;veh_passenger;;7;300.00
1823.00;1049862881_0;116.40;15.66;250.00;0.67;-1044462509_0;5.10;15.92;tripinfo_veh5136 routing_veh5136;1573.00;veh5136;1;16719.37;1.15;0.00;994.28;veh_passenger;;11;715.00
1823.00;-825838522#0_0;58.82;13.59;860.00;0.73;-1226409522#1_0;5.10;14.87;tripinfo_veh17700 routing_veh17700;963.00;veh17700;1;15714.11;1.07;0.00;292.90;veh_passenger;;7;104.00
1823.00;1383725998_0;187.78;12.83;948.00;0.28;-988505723#2_0;5.10;13.17;tripinfo_veh19522 routing_veh19522;875.00;veh19522;1;9157.60;0.95;0.00;414.21;veh_passenger;;7;293.00
1823.00;231770260#4_0;43.69;12.81;1536.00;0.96;-1369506921#1_0;5.10;13.39;tripinfo_veh31620 routing_veh31620;287.00;veh31620;1;3260.35;0.96;0.00;56.65;veh_passenger;;2;4.00
1824.00;-1218440518#0_0;51.59;13.93;899.00;0.89;-569598153#3_0;5.10;0.00;tripinfo_veh18500 routing_veh18500;925.00;veh18500;1;13323.03;1.03;0.00;293.64;veh_passenger;;5;48.00
1824.00;-447849566_0;85.76;12.09;1450.00;0.65;-1391131000_0;5.10;10.75;tripinfo_veh29855 routing_veh29855;374.00;veh29855;1;3305.97;0.89;0.00;139.63;veh_passenger;;1;92.00
1824.00;132056616#0_0;15.09;8.13;1494.00;0.08;-26299195#2_0;5.10;0.00;tripinfo_veh30773 routing_veh30773;330.00;veh30773;1;2578.99;0.85;0.00;120.69;veh_passenger;;1;31.00
1825.00;1043663883_0;105.09;12.44;288.00;0.27;-1380616467_0;5.10;12.80;tripinfo_veh5927 routing_veh5927;1537.00;veh5927;1;12537.21;0.92;0.00;992.88;veh_passenger;;28;635.00
1825.00;1050954351#1_0;139.54;10.76;652.00;17.01;252036569#0_0;5.10;0.00;tripinfo_veh13080 routing_veh13080;1173.00;veh13080;1;19075.05;0.84;0.00;109.17;veh_passenger;;1;15.00
1825.00;988553285#1_0;394.58;13.17;671.00;0.62;-680393835#4_0;5.10;0.00;tripinfo_veh13809 routing_veh13809;1154.00;veh13809;1;19673.68;1.03;0.00;290.02;veh_passenger;;4;168.00
1825.00;-1044514951#0_0;65.00;15.10;917.00;0.88;-1050950556#1_0;5.10;13.40;tripinfo_veh18871 routing_veh18871;908.00;veh18871;1;19594.53;1.09;0.00;235.66;veh_passenger;;2;95.00
1825.00;1049123385_0;267.11;13.22;1634.00;0.17;-123722484#1_0;5.10;0.00;tripinfo_veh33655 routing_veh33655;191.00;veh33655;1;2414.26;1.01;0.00;29.68;veh_passenger;;1;1.00
1826.00;1085269952_0;27.08;12.35;249.00;0.98;321397529#6_0;5.10;0.00;tripinfo_veh5109 routing_veh5109;1577.00;veh5109;1;4202.44;1.21;0.00;1398.21;veh_passenger;;28;1087.00
1826.00;545635657_0;30.43;10.77;1143.00;0.56;-1084004610#1_0;5.10;11.29;tripinfo_veh23533 routing_veh23533;683.00;veh23533;1;7205.58;0.81;0.00;252.46;veh_passenger;;5;44.00
1826.00;-1376951074#0_0;28.89;10.47;1259.00;0.58;-1377971115_0;5.10;13.17;tripinfo_veh25922 routing_veh25922;567.00;veh25922;1;6408.10;0.95;0.00;264.39;veh_passenger;;5;206.00
1826.00;-1071860472#1_0;149.51;15.22;1496.00;0.91;1371950647_0;5.10;16.35;tripinfo_veh30797 routing_veh30797;330.00;veh30797;1;2914.88;1.18;0.00;193.59;veh_passenger;;6;111.00
